"","Country","Renewable.electricity.output","Access.to.electricity","Renewable.energy.consumption","Terrestrial.and.marine.protected.areas","Agricultural.land","Individuals.using.the.Internet","CO2.emissions","GDP.growth","Political.Stability.and.Absence.of.Terrorism","Rule.of.Law","Government.Effectiveness","PM2.5.air.pollution","Proportion.of.seats.held.by.women.in.parliaments","Access.to.clean.fuels.and.technologies.for.cooking","Labor.force.participation.rate","Unemployment","School.enrollment","Cause.of.death.communicable.diseases.and.maternal.prenatal.and.nutrition.conditions","natural.resources.depletion","Prevalence.of.undernourishment","Life.expectancy.at.birth"
"34","Czech Republic",0.476106107257458,0,0.547901236379451,0.740128514975038,0.546632849231962,0.765674873443345,0.644341249042343,0.561909256582793,0.880466374084977,0.772148489255447,0.735657149985519,0.339377886306748,0.312796208530806,0.226785375994682,0.748056268946658,0.44498153090207,0.388993131183465,0.263601163768457,0.00999161196309488,0,0.863994385606275
"35","Denmark",0.855493072041728,0,0.721423026188025,0.684276172701509,0.751981579748334,0.982160222011004,0.532931334852972,0.503378564415032,0.856541636512917,0.983981658604659,0.96448527612475,0.173519611713514,0.601579778830964,0,0.826100727414338,0.51570689556047,0.414077596822108,0.311971865378708,0.0852606128466908,0,0.922558008420986
"36","Djibouti",0,0.806311975134665,0.701256564089792,0.146239206889489,0.888406656992387,0.173963733771641,0.110059572779687,0.866729802352688,0.514618409448813,0.2846207409861,0.207265982809878,0.690024856359401,0.194628751974724,0.97336229836892,0.595438833210452,0.704999728239603,0,0.885286949087982,0.113018163122526,0.608311171394701,0.409485679710168
"37","Dominican Republic",0.526433220321231,0.117210550959609,0.588617457111017,0.641730026899789,0.58679498268401,0.557126692005065,0.264060659914253,0.762024275902931,0.688281322789694,0.392106031414392,0.368765318576906,0.280088871994447,0.36650868878357,0.462464855728514,0.597025505149314,0.544644102368112,0.515878637678119,0.567794200159839,0.161258002686129,0.421436459186893,0.6915649700643
"38","Ecuador",0.83022372640837,0.11354027946472,0.521065426162079,0.632328550738677,0.292919568028359,0.482716390666878,0.311820006569205,0.508500894275544,0.615582632238849,0.281642709305152,0.352486868878889,0.317555709348118,0.636650868878357,0.313819810333365,0.656655876379993,0.364648929793256,0.500729293835336,0.541646716528976,0.356957161794035,0.314936158933638,0.781475272952886
"39","Egypt, Arab Rep.",0.425846368043787,0.0052974496102227,0.351790215094288,0.5703302443472,0.0390858618829208,0.357611320777552,0.281702266363953,0.606633725176763,0.278421850037592,0.359333311447006,0.269812040322949,0.93824958627089,0.235387045813586,0.221770722116069,0.336927556857897,0.743469649897076,0.461943841476024,0.438598344821462,0.389559121227334,0.140148482339107,0.6317565501009
"40","El Salvador",0.870582752607808,0.276805798364974,0.693256930369501,0.216899836723746,0.92246032017904,0.251669844660319,0.142999608063189,0.522943577760486,0.620595321532458,0.343987842308687,0.412695247825796,0.505266237733459,0.473617693522907,0.557572365889178,0.549293186346064,0.392399010183693,0.432982312719381,0.451637271256413,0.125115822847959,0.388157359548176,0.666058983075157
"41","Estonia",0.487347754154328,0,0.68242884112495,0.708213965999586,0.269148891473656,0.86941775236833,0.79902857105699,0.570803548540722,0.806241336540945,0.817192461173003,0.748483605244338,0.0479376227664178,0.360505529225908,0.4015482233809,0.793016500475356,0.543746528613202,0.366074734996658,0.128116912419599,0.0507331786070297,0.041554810632024,0.820557564259526
"42","Eswatini",0.812655483417039,0.748335417423186,0.918043005969142,0.334978550963977,0.859405184720765,0.282716323218041,0.149742680603311,0.555732456387428,0.53618988533906,0.41704303799205,0.324963935784462,0.35402968173384,0.0979462875197472,0.840453925427723,0.377911945345741,0.968222862314533,0.640893842503013,0.936418795191335,0.209416961209862,0.66153870784979,0.134009901124355
"43","Ethiopia",0.99986549345046,0.911188454323048,1,0.693653247220465,0.435298198275722,0.0871863153964151,0.0111957259568569,1,0.28163077625734,0.376909794359992,0.307201597820639,0.632482401976038,0.543443917851501,0.992949578238738,0.897894272810142,0.223123607823195,0.396217551093655,0.91090026423839,0.604693297623977,0.679156192268702,0.436708950395843
"44","Fiji",0.835578565361449,0.337893135457115,0.750477155456398,0.118814306940213,0.276849301831885,0.409201297704933,0.184089602945487,0.665639504592664,0.77339629746815,0.392361043056612,0.379530639921227,0.203783412467537,0.244865718799368,0.878785919406754,0.505901188023159,0.408334094642121,0.486446223877862,0.434583576040726,0.104728704288569,0.105495443874117,0.50218811292549
"45","Finland",0.772395981463622,0,0.795864961483335,0.623414272399255,0.0842556933872071,0.894172349360854,0.623506763778102,0.446746265648586,0.915203370007138,1,0.986780161930004,0,0.663507109004739,0,0.771502754076859,0.617411579240133,0.400252977856922,0,0.0213984969852728,0,0.940683050418954
"46","France",0.56515151418972,0,0.530260686167671,0.8237305184816,0.633287740189488,0.817221615260182,0.454012893206675,0.459891055531493,0.686843231368976,0.854167042327503,0.844569910081344,0.230545453604099,0.456556082148499,0,0.692596800926154,0.662209653625602,0.421811891533206,0.295942451034749,0.000919632186987974,0,0.976300339931168
"47","Gambia, The",0,0.829332578333697,0.86151657543083,0.154250361246656,0.722082918635604,0.138766108610536,0.0324350984823501,0.566023285634939,0.601492577328918,0.342478651031336,0.267238247983219,0.579373940242505,0.145339652448657,0.993085036128544,0.495390955698915,0.642576404594894,0.255793094028211,0.941062516649988,0.442552999560298,0.390117956371599,0.3113039995926
"48","Georgia",0.945143651663487,0.00232762975450934,0.733853068396866,0.428931918637439,0.419320336437593,0.497366431635362,0.276569938618326,0.613590924774767,0.549674334750924,0.560317049579391,0.603831891421086,0.449460360483536,0.20260663507109,0.661063314197458,0.716404084175161,0.794955212343498,0.431788512631173,0.124676694352084,0.0930117309685091,0.302922867321255,0.682583205694667
"49","Germany",0.675510513761397,0,0.526597681420201,0.899347600922785,0.576708960976547,0.866254203545798,0.639769614587942,0.494190121944989,0.821781538033275,0.921078933854947,0.918302111740367,0.232943768319047,0.578199052132702,0,0.812785293929344,0.41833029985445,0.420308000894937,0.24495571692823,0.00580370859750103,0,0.926520507211896
"50","Ghana",0.872850176987561,0.661727649648088,0.810636431075884,0.473331764731024,0.834441499562191,0.255268474799987,0.0805546075962665,0.679736799889158,0.634793516376576,0.528556609801416,0.417754535980501,0.57011369720413,0.177883096366509,0.946962685659019,0.652392863763727,0.529264010894162,0.47675911856007,0.897686074301276,0.598927613527924,0.227911806617695,0.368320289229265
