"","Country","country.area.cultivated","Human.Devel.Index","Internal.renewable.water.resources.per.capita","Total.renewable.water.resources.per.capita","Flood.occurance","Total.water.withdrawal.per.capita","SDG.water.stress","Longterm.avg.annual.precip.volumne","Pop.with.access.to.safe.drinking.water"
"56","Iceland",1.18866666666667,0.89815,528916,528916,0.1,4114.1,1.81846666666667,199.8,100
"57","India",51.5133333333333,0.60435,1150.33333333333,1520,3.9,602.5,66.49,3560,91.2333333333333
"58","Indonesia",23.2766666666667,0.6809,8142,8142,3.1,843.2,29.68,5165.33333333333,85.2333333333333
"59","Iran (Islamic Republic of)",9.89366666666667,0.765,1682.66666666667,1794,3.2,1295,81.45,397.9,95.8666666666667
"60","Iraq",11.47,0.6538,1077.9,2751.66666666667,2.4,1007,54.13,94.22,85.4666666666667
"61","Ireland",12.7166666666667,0.9127,10635.3333333333,11286.6666666667,2.2,163.9,3.5775,78.57,97.5666666666667
"62","Israel",17.51,0.8923,98.6133333333333,234.066666666667,2.9,282.2,122.4,9.6,100
"63","Italy",31.3233333333333,0.87235,3068.66666666667,3217,2.6,737.9,38.745,250.7,100
"64","Jamaica",20.1666666666667,0.72075,3817.33333333333,3817.33333333333,3.5,380.55,10.005,22.54,93.7666666666667
"65","Japan",12.0566666666667,0.8893,3355.66666666667,3355.66666666667,3,639.95,37.695,630.433333333333,100
"66","Jordan",3.17033333333333,0.74725,88.57,121.693333333333,3,121.433333333333,98.7433333333333,9.895,96.9
"67","Kazakhstan",10.7333333333333,0.78305,3800,6401.33333333333,1.7,1274.33333333333,28.4266666666667,681.2,93.1333333333333
"68","Kenya",10.644,0.54385,478.1,709.066666666667,3.8,71.9233333333333,26.3,365.6,60.8333333333333
"69","Kyrgyzstan",6.78366666666667,0.65025,8756.33333333333,4226.66666666667,2.1,1543,50.03,106.6,87.1333333333333
"70","Lao People's Democratic Republic",6.547,0.5684,29814.3333333333,52222.3333333333,3.9,587.1,2.277,434.3,69.4666666666667
"71","Latvia",19.0066666666667,0.81585,8196.66666666667,16906.3333333333,1.8,113.41,1.334,43.0266666666667,99.0333333333333
"72","Lebanon",25.3,0.76475,980.2,919.466666666667,2.8,311.55,47.175,6.907,97.3666666666667
"73","Lithuania",32.3466666666667,0.8362,5060.66666666667,8020,2.4,826.9,18.14,42.8366666666667,95.4
"74","Luxembourg",24.52,0.89015,1899.66666666667,6648.33333333333,3.1,79.495,3.669,2.419,100
"75","Madagascar",6.72066666666667,0.5085,15200,15200,2.6,697.7,11.35,888.466666666667,48.0666666666667
"76","Malawi",30.8333333333333,0.4391,1011.9,1082.96666666667,3.3,98.04,17.51,139.9,83.4666666666667
"77","Malaysia",22.8933333333333,0.77665,20002.3333333333,20002.3333333333,3.1,420.6,5.744,950.566666666667,97.5
"78","Mali",5.249,0.41685,3790.33333333333,7581,2.6,379.2,8.003,349.7,69.5666666666667
"79","Malta",31.23,0.83435,120.1,120.1,0,125.473333333333,60.5266666666667,0.1792,100
"80","Mauritania",0.414966666666667,0.5018,105.2,2999,2.5,407.5,13.24,94.82,55.1
"81","Mexico",13.09,0.7552,3403,3843,2.9,686.966666666667,30.7866666666667,1489,94.5666666666667
"82","Mongolia",0.4109,0.72025,12368.6666666667,12368.6666666667,1.3,184.8,3.802,377,63.2
"83","Morocco",20.8666666666667,0.6257,870.033333333333,870.033333333333,2.9,312.9,49.68,154.5,83.9666666666667
"84","Mozambique",7.27566666666667,0.4122,3935.66666666667,8519,3,49.65,1.751,820.5,49.1666666666667
"85","Nepal",15.9133333333333,0.54375,7164,7597.66666666667,4.5,362.3,8.312,220.8,88.2
"86","Netherlands",25.7333333333333,0.92115,655.766666666667,5425,2.5,608.466666666667,19.35,32.32,100
"87","New Zealand",2.14833333333333,0.9115,73307.6666666667,73307.6666666667,1.7,1161.5,4.1195,463.7,100
"88","Nicaragua",14.6066666666667,0.62845,26662,28078.3333333333,3.6,262.9,2.696,297.2,85.4333333333333
"89","Niger",12.6033333333333,0.3453,199.666666666667,1942,3.4,74.2,5.8245,191.3,55.0666666666667
"90","Nigeria",45.32,0.50935,1329.33333333333,1721.66666666667,3.1,76.78,9.318,1062,64.7
